Species	Status
Dicotetradites_reticulatus_n._sp.	extinct
Dicotetradites_spp.	extinct
Dicotylophyllum_aff._anomalum	extant
Dicotylophyllum_aff._sp._3_informal	extant
Dicotylophyllum_agashi_n._sp.	extinct
Dicotylophyllum_aliquantuliserratum_n._sp.	extant
Dicotylophyllum_angularis_n._sp.	extant
Dicotylophyllum_anomalum	extant
Dicotylophyllum_chitalii_n._sp.	extant
Dicotylophyllum_cordatum_n._sp.	extant
Dicotylophyllum_corifolium	extant
Dicotylophyllum_dioscoreoides_n._sp.	extant
Dicotylophyllum_elegans	extant
Dicotylophyllum_expansolobum_n._sp.	extinct
Dicotylophyllum_hamameloides_n._sp.	extinct
Dicotylophyllum_hebronensis_n._sp.	extant
Dicotylophyllum_kummerensis	extant
Dicotylophyllum_lobatus_n._sp.	extinct
Dicotylophyllum_mercerensis	extinct
Dicotylophyllum_mercerensis_n._sp.	extinct
Dicotylophyllum_myrtophylloides_n._sp.	extinct
Dicotylophyllum_oblongatum_n._sp.	extinct
Dicotylophyllum_ovatodecurrens_n._sp.	extinct
Dicotylophyllum_panandhroensis_n._sp.	extant
Dicotylophyllum_patilii_n._sp.	extant
Dicotylophyllum_pinnatifidum_n._sp.	extinct
Dicotylophyllum_quadrinervatum_n._sp.	extant
Dicotylophyllum_rosafluviatilis_n._sp.	extant
Dicotylophyllum_sp.	extant
Dicotylophyllum_sp._1	extant
Dicotylophyllum_sp._1_informal	extant
Dicotylophyllum_sp._10_informal	extinct
Dicotylophyllum_sp._11_informal	extant
Dicotylophyllum_sp._12_informal	extinct
Dicotylophyllum_sp._13_informal	extinct
Dicotylophyllum_sp._14_informal	extinct
Dicotylophyllum_sp._15_informal	extant
Dicotylophyllum_sp._16_informal	extant
Dicotylophyllum_sp._17_informal	extinct
Dicotylophyllum_sp._2_informal	extant
Dicotylophyllum_sp._3_informal	extinct
Dicotylophyllum_sp._4_informal	extinct
Dicotylophyllum_sp._5_informal	extant
Dicotylophyllum_sp._6_informal	extinct
Dicotylophyllum_sp._7_informal	extant
Dicotylophyllum_sp._8_informal	extinct
Dicotylophyllum_sp._9_informal	extinct
Dicotylophyllum_sp._A	extinct
Dicotylophyllum_sp._B	extinct
Dicotylophyllum_sp._informal	extinct
Dicotylophyllum_sp.1_informal	extant
Dicotylophyllum_spp.	extinct
Dryoxylon_intertrappea_n._sp.	extinct
Dryoxylon_mahurzarii_n._sp.	extant
Dryoxylon_mohgaoense_n._sp.	extant
Dryoxylon_nahanai_n._sp.	extant
Dryoxylon_simarubaceus_n._sp.	extinct
Dryoxylon_sp.	extant
Dryoxylon_spp.	extant
Dryoxylon_tiliaceoides_n._sp.	extinct
Duplotriporites_ariani	extant
Echimonocolpites_densus	extant
Echimonocolpites_sp.	extinct
Echimonocolpites_sp._informal	extant
Echitetracolpites_?_sp.	extant
Echitetracolpites_?_tennuiexinatus	extinct
Echitetracolpites_?_tennuiexinatus_n._sp.	extinct
Echitetracolpites_?_tenuiexinatus_n._sp.	extinct
Favitricolporites_australis	extinct
Favitricolporites_australis_n._sp.	extant
Favitricolporites_baculoferous	extant
Favitricolporites_complex	extant
Favitricolporites_complex_n._sp.	extant
Favitricolporites_medireticulatus	extinct
Favitricolporites_medireticulatus_n._sp.	extinct
Forcipites_longus	extinct
Forcipites_longus_cf.	extinct
Forcipites_sabulosus	extant
Forcipites_sp._A_informal	extant
Forcipites_stipulatus_cf.	extinct
Foveotricolporites_caldensis	extant
Foveotricolporites_crassiexinus_cf.	extant
Foveotricolporites_fossulatus_n._sp.	extant
Foveotricolporites_marginatus	extinct
Foveotricolporites_porololongatus	extant
Foveotricolporites_rugulatus	extinct
Foveotricolporites_rugulatus_n._sp.	extant
Foveotricolporites_sp.	extant
Foveotricolporites_spp._informal	extant
Foveotricolporites_voluminosus	extinct
Foveotriporites_hammenii	extinct
Foveotriporites_sp.	extant
Fremontia_lobata_n._sp.	extinct
Gambierina_(Gambierina_cf.)_edwardsii	extinct
Gambierina_edwardsii	extant
Gambierina_edwardsii_cf.	extinct
Gambierina_rudata	extant
Gambierina_sp.	extant
Gemmamonocolpites_amicus	extant
Gemmamonocolpites_barbatus	extant
Gemmamonocolpites_gemmatus	extinct
Gemmamonocolpites_gemmatus_n._sp.	extant
Gemmamonocolpites_macrogemmatus	extinct
Gemmamonocolpites_ovatus	extinct
Gemmamonocolpites_perfectus_n._sp.	extinct
Gemmamonocolpites_pilulus	extant
Gemmamonocolpites_sp.	extant
Gemmatricolpites_pergemmatus	extinct
Gemmatricolpites_pulcher	extinct
Gemmatricolpites_sp.	extinct
Gemmatricolpites_sp._1_informal	extinct
Gemmatricolpites_sp._informal	extant
Gemmatricolpites_subsphaericus	extant
Gemmatricolpites_subsphaericus_cf.	extinct
Gemmatricolpites_subsphaericus_n._sp.	extant
Glochidioxylon_sahnii_n._sp.	extinct
Glochidioxylon_tertiarum_n._sp.	extinct
Haloragacidites_amolosus	extinct
Haloragacidites_cf._harrisii	extinct
Haloragacidites_haloragoides	extinct
Haloragacidites_harrisii	extant
Haloragacidites_myriophylloides	extant
Haloragacidites_neyvelii_n._sp.	extant
Haloragacidites_sp.	extant
Haloragacidites_trioratus	extant
Horniella_sp.	extant
Icacinoxylon_pittiense	extinct
Icacinoxylon_pittiense_n._sp.	extant
Jandufouria_minor_n._sp.	extant
Kachaikenia_n._gen._compuesta_n._sp.	extant
Kenella_aff._sp.	extinct
Kenella_filatovii	extinct
Ladakhipollenites_rubinii	extinct
Ladakhipollenites_simplex	extant
Ladakhipollenites_sp.	extant
Lefipania_padillae	extinct
Magnoliopsida_"Banara"_prehernandiensis_informal	extinct
Magnoliopsida_"Cassia"_argentinensis_informal	extinct
Magnoliopsida_"Celtis"_ameghenoi_Berry_informal	extinct
Magnoliopsida_"Celtis"_ameghenoi_informal	extinct
Magnoliopsida_"Coprosma"_incerta_informal	extant
Magnoliopsida_"Cupania"_grosseserrata_informal	extant
Magnoliopsida_"Cupania"_latifolioides_informal	extinct
Magnoliopsida_"Myrica"_mira_informal	extant
Magnoliopsida_"Schmidelia"_proedulis_informal	extant
Magnoliopsida_"Sterculia"_patagonica_informal	extant
Magnoliopsida_"Tetracera"_patagonica_informal	extinct
Magnoliopsida_cf._"Banara"_prehernandiensis_informal	extinct
Magnoliopsida_cf._Allophylus_eduliformis_informal	extinct
Magnoliopsida_cf._Banara_prehernandiensis_informal	extant
Magnoliopsida_cf._Cochlospermum_previtifolium_informal	extant
Magnoliopsida_cf._Macaranga_or_Mallotus_informal	extant
Magnoliopsida_morphotype_a_informal	extinct
Magnoliopsida_morphotype_b_informal	extant
Malvacipollis_argenlina	extant
Malvacipollis_argentina	extinct
Malvacipollis_argentina_n._sp.	extant
Malvacipollis_comodoroensis	extant
Malvacipollis_diversus	extinct
Malvacipollis_diversus_?	extant
Malvacipollis_diversus_cf.	extant
Malvacipollis_duratus	extinct
Malvacipollis_gracilis_cf.	extant
Malvacipollis_sp.	extant
Malvacipollis_sp._1_informal	extant
Malvacipollis_sp._2_informal	extinct
Malvacipollis_sp._3_informal	extinct
Malvacipollis_sp._informal	extant
Malvacipollis_spinyspora	extinct
Malvacipollis_spp.	extant
Malvacipollis_subtilis	extinct
Metcalfeoxylon_indet.	extinct
Metcalfeoxylon_kirtlandense	extant
Octacolpites_brevicolpa_n._sp.	extant
Pandaniidites_indet.	extant
Pandaniidites_radicus	extinct
Pandaniidites_sp.	extant
Paraphyllanthoxylon_alabamense_cf.	extant
Paraphyllanthoxylon_anasazi	extinct
Paraphyllanthoxylon_arizonense	extant
Paraphyllanthoxylon_gaulkheraense_n._sp.	extinct
Paraphyllanthoxylon_idahoense	extinct
Paraphyllanthoxylon_keriense_n._sp.	extinct
Paraphyllanthoxylon_mohgaoensis_n._sp.	extinct
Paraphyllanthoxylon_palaeoemblica_n._sp.	extinct
Paraphyllanthoxylon_utahense	extant
Parsonsidites_?_sp.	extant
Parsonsidites_multiporus	extinct
Parsonsidites_sp.	extant
Periporopollenites_demarcatus	extant
Periporopollenites_pallidus	extant
Periporopollenites_polyoratus	extinct
Periporopollenites_polyoratus_cf.	extant
Periporopollenites_polyratus	extant
Periporopollenites_sp._A_informal	extinct
Periporopollenites_spinosus	extinct
Periporopollenites_spp.	extinct
Periporopollenites_versicus	extant
Periporopollenites_vesicus	extinct
Periporopollenites_vesicus_cf.	extinct
Periretisyncolpites_giganteus	extinct
Periretisyncolpites_phosphaticus	extinct
Periretisyncolpites_sp.	extant
Phyllanthinium_bangalamodense_n._sp.	extant
Poloretitricolpites_n._gen._absolutus_n._sp.	extant
Polycolpites_cooksonii_n._sp.	extinct
Polycolpites_ghoshii_n._sp.	extinct
Polycolpites_langstonii	extant
Polycolpites_pococki_n._sp.	extinct
Polycolpites_sp.	extant
Polycolpites_speciosus_n._sp.	extinct
Polycolpites_vimalii	extinct
Polycolpites_vimalii_n._sp.	extant
Polyporina_bipatterna	extinct
Polyporina_chenopodiaceoides	extinct
Polyporina_excellens	extant
Polyporina_globosa	extinct
Polyporina_mediporus_n._sp.	extinct
Polyporina_romeroi	extant
Polyporina_romeroi_n._sp.	extant
Psilatricolporites_cassioides_n._sp.	extant
Psilatricolporites_crassus	extinct
Psilatricolporites_cyamus	extinct
Psilatricolporites_distinctus	extant
Psilatricolporites_innovatus_informal	extant
Psilatricolporites_minor_n._sp.	extant
Psilatricolporites_normalis	extinct
Psilatricolporites_obscurus	extant
Psilatricolporites_optimus	extant
Psilatricolporites_pseudomarginatus	extinct
Psilatricolporites_salamanquensis	extant
Psilatricolporites_salamanquensis_cf.	extinct
Psilatricolporites_sp.	extinct
Psilatricolporites_sp._1_informal	extinct
Psilatricolporites_sp._2_informal	extinct
Psilatricolporites_sp._cf._salamanquensis_informal	extinct
Psilatricolporites_sp._cf._salamanquesis_informal	extant
Psilatricolporites_sp._informal	extant
Psilatricolporites_sp.1_informal	extant
Psilatricolporites_spp.	extant
Psilatricolporites_vanus	extant
Psilatricolporites_venezuelanus	extant
Quadraplanus_brossus	extant
Quereuxia_angulata	extant
Quereuxia_sp.	extinct
Retitricolpites_florentinus	extant
Retitricolpites_perforatus	extant
Retitricolporites_annaeoides	extant
Retitricolporites_chubutensis	extant
Retitricolporites_chubutensis_cf.	extant
Retitricolporites_chubutensis_n._sp.	extant
Retitricolporites_colpotransversalis	extinct
Retitricolporites_craceus	extinct
Retitricolporites_cuddalorense_n._sp.	extant
Retitricolporites_dissimulatus_informal	extant
Retitricolporites_equatorialis	extinct
Retitricolporites_finitus	extinct
Retitricolporites_ghoshii_n._sp.	extant
Retitricolporites_hispidus	extant
Retitricolporites_marianis	extant
Retitricolporites_medius	extinct
Retitricolporites_microreticulatus	extant
Retitricolporites_minutiformis	extinct
Retitricolporites_minutiformis_cf.	extinct
Retitricolporites_porolalongatus	extant
Retitricolporites_profundus	extant
Retitricolporites_pseudorhoipites	extant
Retitricolporites_saskiae	extant
Retitricolporites_sp.	extant
Retitricolporites_sp._1_informal	extant
Retitricolporites_sp._informal	extinct
Retitricolporites_spp.	extant
Rhoipites_?_sp.	extant
Rhoipites_"_cienaguensis	extinct
Rhoipites_alveolatus	extinct
Rhoipites_angustus	extinct
Rhoipites_aralioides	extinct
Rhoipites_baculatus	extinct
Rhoipites_baculatus_n._sp.	extant
Rhoipites_bradleyi	extinct
Rhoipites_cienagensis	extinct
Rhoipites_cienagensis_n._sp.	extant
Rhoipites_cienaguensis	extinct
Rhoipites_cissus	extinct
Rhoipites_exiguus	extinct
Rhoipites_guianensis	extant
Rhoipites_hispidus	extinct
Rhoipites_isoreticulatus_?	extinct
Rhoipites_karamuensis	extinct
Rhoipites_kutchensis_n._sp.	extinct
Rhoipites_microreticulatus_cf.	extant
Rhoipites_minusculus	extant
Rhoipites_minusculus_n._sp.	extant
Rhoipites_prolatus	extant
Rhoipites_romeroi	extant
Rhoipites_santafesii	extant
Rhoipites_sp.	extant
Rhoipites_sp._1_informal	extant
Rhoipites_sp._A_informal	extant
Rhoipites_sp._B_informal	extinct
Rhoipites_sp._C_informal	extinct
Rhoipites_sp._D_informal	extinct
Rhoipites_sp._E_informal	extinct
Rhoipites_sphaerica	extant
Rhoipites_spp.	extinct
Rhoipites_striatus_n._sp.	extinct
Rousea_?_georgensis	extinct
Rousea_delicata_cf.	extinct
Rousea_delicipollis	extant
Rousea_doylei	extant
Rousea_georgensis	extinct
Rousea_georgensis_cf.	extant
Rousea_geraniodes	extinct
Rousea_geranioides_aff.	extinct
Rousea_geranoides	extinct
Rousea_marthae_cf.	extant
Rousea_microreticulata	extinct
Rousea_miculipollis_cf.	extant
Rousea_minuscula	extinct
Rousea_monilifera	extant
Rousea_patagonica	extinct
Rousea_patagonica_cf.	extant
Rousea_patagonica_n._sp.	extant
Rousea_sp.	extinct
Rousea_sp._informal	extinct
Rousea_spp.	extinct
Rousea_spp._informal	extant
Scabrastephanocolpites_lepidus	extinct
Scabrastephanocolpites_lisamae	extant
Scabrastephanocolpites_sp.	extant
Scabrastephanocolpites_vanegensis	extinct
Senipites_drumhellerensis	extant
Senipites_patagonica	extinct
Senipites_patogonica	extant
Senipites_sp.	extant
Senipites_sp.1_informal	extant
Senipites_tercrassata	extant
Senipites_tercrassata_n._sp.	extinct
Siltaria_abouziarovae	extant
Siltaria_mariposa	extant
Siltaria_media	extinct
Siltaria_medius	extant
Siltaria_pacata_group_informal	extinct
Siltaria_sp.	extinct
Srivastavapollenites_exoticus	extinct
Srivastavapollenites_n._gen._exoticus_n._sp.	extinct
Striatopollis_?_tennuistriatus_n._sp.	extinct
Striatopollis_catatumbus	extant
Striatopollis_dubius	extinct
Striatopollis_exiguus	extant
Striatopollis_minor	extant
Striatopollis_paraneus	extant
Striatopollis_paraneus_cf.	extinct
Striatopollis_reticulatus	extinct
Striatopollis_sp.	extant
Striatopollis_spp._informal	extinct
Striatopollis_trochuensis	extinct
Striatopollis_vermimurus	extant
Striatricolporites_agustinus	extinct
Striatricolporites_digitatus	extant
Striatricolporites_digitatus_n._sp.	extant
Striatricolporites_gamerroi	extinct
Striatricolporites_gamerroi_cf.	extinct
Striatricolporites_gamerroi_n._sp.	extant
Striatricolporites_porolalongatus	extant
Striatricolporites_reticulatus	extant
Striatricolporites_sp.	extinct
Striatricolporites_spp._informal	extant
Syndemicolpites_petriellai	extinct
Syndemicolpites_petriellai_n._sp.	extant
Syndemicolpites_typicus	extant
Tetracolporites_?_oamaruensis	extinct
Tetracolporites_brevicolpus_n._sp.	extinct
Tetracolporites_longicolpus_n._sp.	extant
Tetracolporites_pachyexinatus_n._sp.	extant
Tetracolporites_palynius	extinct
Tetracolporites_paucus_n._sp.	extant
Tetracolporites_psilatus_n._sp.	extinct
Tetracolporites_sp.	extant
Tetracolporites_spectabilis	extant
Tetracolporites_spp.	extinct
Tetracolporites_verrucosus	extant
Thorhallenia_dentata	extant
Thorhallenia_form_A_informal	extinct
Thorhallenia_form_B_informal	extinct
Thorhallenia_n._gen._dentata_n._sp.	extant
Thorphyllum_n._gen._patagonica_n._sp.	extant
Trapago_angulata	extinct
Trapago_angulate	extant
Tricolpites_anguloluminosus	extant
Tricolporites_adelaidenis	extinct
Tricolporites_adelaidensis	extinct
Tricolporites_adelaidensis_cf.	extant
Tricolporites_ambiguus	extinct
Tricolporites_angurium_cf.	extant
Tricolporites_cf._lillei	extinct
Tricolporites_distinctus	extant
Tricolporites_lillei	extinct
Tricolporites_microreticulatus	extinct
Tricolporites_moultonii	extant
Tricolporites_pachyexinus	extinct
Tricolporites_paenestriatus	extinct
Tricolporites_retequetrus	extinct
Tricolporites_scabratus	extinct
Tricolporites_sp.	extinct
Tricolporites_sp._1_informal	extinct
Tricolporites_sp._2_informal	extinct
Tricolporites_sp._3_informal	extant
Tricolporites_sp._A_informal	extinct
Tricolporites_sp._B_informal	extinct
Tricolporites_sp._C_informal	extant
Tricolporites_sp._D_informal	extinct
Tricolporites_sp.1_informal	extant
Tricolporites_sphaerica	extant
Tricolporites_spp.	extant
Tricolporites_spp._indet._informal	extinct
Tricolporites_trioblatus_cf.	extant
Tricolporites_valvatus	extant
Ulmoideipites_krempii	extant
Ulmoideipites_patagonicus	extant
Ulmoideipites_patagonicus_n._sp.	extinct
Ulmoideipites_planaeriformis	extant
Ulmoideipites_tricostatus	extant
Verrustephanoporites_simplex	extant
Verrustephanoporites_sp.	extant
Xanthophyllum_cuddalorense_n._sp.	extant
Xanthophyllum_mioglaucum_n._sp.	extant
